No.,Material,Form,Present,Ch.,Ancient,x,Unit
104,Basalt bl.,18—19,2916.2,,2916.2,20,145.8
105,Basalt bl.,26—33,145.8,,145.8,1,145.8
106,Basalt br.,16,2910.3,,2920,20,146.0
107,Bronze,33—40,638.7,90,730,5,146
108,Basalt bl.,26—33,292.5,,292.4,2,146.2
109,Syenite bl.,8,731.4,,731.6,5,146.3
110,Basalt bl.,25—33,292.5,,292.5,2,146.3
111,Limestone,20—40,1439.6,,1465,10,146.5
112,Basalt bl.,27—33,292.9,,293.0,2,146.5
113,Basalt bl.,27—33,2933.5,,2934.5,20,146.7
114,Basalt br.,27—35,734.1,,734.6,5,146.9
115,Limestone,27—40,518.5,B,1470,10,147
116,Basalt bl.,40—44,147.1,,147.1,1,147.1
117,Basalt br.,33—37,2943.0,,2944.5,20,147.2
118,Basalt bl.,27,294.4,,294.4,2,147.2
119,Bronze bl.,51—52,20.0,,29.5,⅕,147.5
120,Basalt bl.,38,285.1,,285.1,2,147.6
121,Basalt br.,33,147.6,,147.6,1,147.6
122,Limestone,40,732.4,,7390,50,147.8
123,Syenite br.,38,1476.6,,1478.5,10,147.8
124,Syenite bl.,82,738.8,,738.8,5,147.8
125,Basalt br.,33,294.9,,295.6,2,147.8
126,Limestone,32,445.8,B,740,5,148
127,Basalt bl.,33,74.0,,74.0,½,148.0
128,Syenite gr.,33,1489.6,,1489.9,10,148.1
129,Syenite bl.,2,7408,,7408,50,148.2
130,Syenite gr.,43,1482.3,,1482.3,10,148.2
131,Basalt br.,33—40,7230,,7420,50,148.4
132,Syenite gr.,39,741.8,,741.8,5,148.4
133,Basalt br.,33,74.3,,74.3,½,148.6
134,Basalt bl.,25,742.9,,743.9,5,148.8
135,Alabaster,38—43,74.1,,74.4,½,148.8
136,Bronze,38,74.7,,74.4,½,148.8
137,Syenite gr.,8—11,2910.1,70,2980,20,149
138,Stone br.,41,148.0,,149?,1,149?
139,Basalt br.,27,2989.9,,2988,20,149.1
140,Basalt bl.,33,2975.4,,2982,20,149.1
141,Basalt bl.,23,2978.1,,2982,20,149.1
142,Basalt bl.,83,746.2,,746.2,5,149.2
143,Syenite gr.,33,7466,,7469,50,149.4
144,Basalt br.,23—27,7388,,7499,50,149.8
145,Syenite gn.,38,2995.1,,2997,20,149.8
146,Basalt bl.,33,298.7,,299.6,2,149.8
147,Basalt bl.,23,149.8,,149.8,1,149.8
148,Bronze L.,33—37,7090,40,750,5,150
149,Basalt bl.,33,299.6,,300.0,5,150.0
150,Basalt bl.,27—33,75.2,,75.2,½,150.4
151,Bronze,40,303.0,,301,2,150.5
152,Granite red,26,75290,,75290,500,150.6
153,Basalt bl.,33,300.4,,301.22,2,150.6
154,Syenite pk.,27—37,3013.5,,3016.0,20,150.8
155,Syenite bl.,41,75.4,,75.4,½,150.8
156,Syenite gr.,31—33,3026,,3026,2,151.3
157,Bronze,32,303.2,,305,2,152.5
158,Bronze,25—27,151.3,,153,1,153
159,Bronze (95),25-26,117.1,,116.6,1,116.6
160,Bronze,40,29.1,*6,19.5,½,117.
161,Bronze,44,61.5,3*,58.5,½,117.0
162,Bronze,41,60.0,,59.0,½,118.0
163,(Stone) red,88,59.1,,59.2,½,118.4
164,Bronze,26,60.8,1.4,59.4,1,118.8
165,Bronze,25-26,117.3,4,119,1,119.
166,Alabaster,18-71,598.0,,598.0,5,119.6
167,Marble,29,594.3,,599,5,119.8
168,Limestone,33,121.4,,121.4,1,121.4
169,Bronze,26,61.7,,60.7,1,121.4
170,Bronze,32,60.4,1.7,60.7,½,121.4
171,"Basalt, br.",48,2429.7,,2430.4,20,121.5
172,"Bronze, L.",57,613.6,14,608,5,121.6
173,Bronze,33-37,123.3,,121.6,1,121.6
174,"Basalt, br.",25,2421.7,,2437,20,121.8
175,Alabaster,23-27,609.4,,609.6,5,121.9
176,Bronze,25,122.6,,122.0,1,122.0
177,Bronze,33,58.4,2.6,61.0,1,122.0
178,Bronze,43,20.5,,20.4,½,122.4
179,Bronze,38-43,21.9,1.5,20.4,½,122.4
180,"Syenite, bl.",42,245.1,,245.1,2,122.6
181,"Basalt, br.",23-27,611.5,,613.6,5,122.7
182,"Basalt, bl.",44,"33,090",B,"37,000",300,123.
183,Alabaster,45,61.6,,61.6,½,123.2
184,Bronze,43,33.8,3*,30.8,½,123.2
185,"Syenite, bl.",8-38,3699.3,,3701.0,30,123.4
186,Diorite,18-42,368.7,,370.4,30,123.5
187,Limestone,46,61.4,,61.8,½,123.6
188,Bronze,37-40,577.7,42,620,5,124.
189,"Basalt, bl.",25-33,242.6,5.4,248.,2,124.0
190,Bronze,66,127.7,4,124.,1,124.
191,Bronze,26,125.7,,124.0,1,124.0
192,"Bronze, L.",26,249.3,,249,2,124.5
193,Bronze,51,24.9,1,24.9,½,124.5
194,Limestone,19-33,592.8,32,623,5,124.6
195,Alabaster,12-24,622.4,,622.8,5,124.6
196,Bronze,57,251.3*,,249.6,2,124.8
197,Bronze,66,120.7,43,125.0,10,125.
198,Bronze,19-27,238.6,11,250,2,125.
199,Bronze,26-33,238.4,13,251,2,125.5
200,"Basalt, br.",38,1504.5,,1507,12,125.6
201,"Porphyry, gn.",4-7,377.5,,377.5,30,125.8
